,movieCd,movieNm,showTm,prdtYear,openDt,prdtStatNm,typeNm,nations,gradeNm
0,20187521,펭귄 하이웨이,117,2018,20181018,개봉,장편,[{'nationNm': '일본'}],전체관람가
0,20180628,액슬,98,2018,20181018,개봉,장편,[{'nationNm': '미국'}],12세이상관람가
0,20174981,창궐,121,2018,20181025,개봉,장편,[{'nationNm': '한국'}],15세이상관람가
0,20182403,크레이지 리치 아시안,120,2018,20181025,개봉,장편,[{'nationNm': '미국'}],12세이상관람가
0,20010291,해리포터와 마법사의 돌,152,2001,20011213,개봉,장편,[{'nationNm': '미국'}],전체관람가
0,20177538,완벽한 타인,115,2018,20181031,개봉,장편,[{'nationNm': '한국'}],15세이상관람가
0,20181669,윌리,89,2018,20181025,개봉,장편,[{'nationNm': '말레이시아'}],전체관람가
0,20185485,보헤미안 랩소디,134,2018,20181031,개봉,장편,[{'nationNm': '미국'}],12세이상관람가
0,20181404,벽 속에 숨은 마법시계,105,2018,20181031,개봉,장편,[{'nationNm': '미국'}],전체관람가
0,20180987,할로윈,105,2018,20181031,개봉,장편,[{'nationNm': '미국'}],청소년관람불가
0,20181171,바울,107,2018,20181031,개봉,장편,[{'nationNm': '미국'}],15세이상관람가
0,20170513,동네사람들,99,2018,20181107,개봉,장편,[{'nationNm': '한국'}],15세이상관람가
0,20179006,여곡성,94,2018,20181108,개봉,장편,[{'nationNm': '한국'}],15세이상관람가
0,20183063,박물관이 진짜 살아있다,86,2017,20181108,개봉,장편,[{'nationNm': '체코'}],전체관람가
0,20182693,구스범스: 몬스터의 역습,89,2018,20181107,개봉,장편,[{'nationNm': '미국'}],12세이상관람가
0,20176814,신비한 동물들과 그린델왈드의 범죄,133,2018,20181114,개봉,장편,[{'nationNm': '미국'}],12세이상관람가
0,20183050,번 더 스테이지: 더 무비,82,2018,20181115,개봉,장편,[{'nationNm': '한국'}],전체관람가
0,20184481,성난황소,115,2018,20181122,개봉,장편,[{'nationNm': '한국'}],15세이상관람가
0,20182935,출국,104,2018,20181114,개봉,장편,[{'nationNm': '한국'}],15세이상관람가
0,20186822,너의 췌장을 먹고 싶어,109,2018,20181115,개봉,장편,[{'nationNm': '일본'}],12세이상관람가
