,genreNm,movieCd
3,어드벤처,20227925
0,애니메이션,20228555
0,애니메이션,20224109
0,멜로/로맨스,20228652
1,판타지,20228652
2,드라마,20228652
0,애니메이션,20228255
1,판타지,20228255
0,드라마,20228644
1,코미디,20228644
2,판타지,20228644
0,드라마,20190808
0,드라마,20214823
1,액션,20214823
0,애니메이션,20228895
0,가족,20229166
1,뮤지컬,20229166
2,드라마,20229166
0,드라마,20229551
1,판타지,20229551
2,멜로/로맨스,20229551
0,공포(호러),20229205
1,스릴러,20229205
2,코미디,20229205
0,드라마,20227374
0,공연,20239691
0,드라마,19980074
1,멜로/로맨스,19980074
2,액션,19980074
0,드라마,20223565
0,액션,20230209
0,애니메이션,20210684
0,애니메이션,20228966
1,판타지,20228966
2,어드벤처,20228966
0,드라마,20193706
0,미스터리,20239573
1,스릴러,20239573
0,미스터리,20202026
1,공포(호러),20202026
0,애니메이션,20226270
0,애니메이션,20239913
1,액션,20239913
2,어드벤처,20239913
0,범죄,20208962
1,드라마,20208962
0,애니메이션,20230533
0,공연,20230495
1,다큐멘터리,20230495
0,드라마,20227684
0,미스터리,20230200
1,스릴러,20230200
0,드라마,20197654
0,액션,20230081
1,어드벤처,20230081
0,애니메이션,20230484
0,액션,20230340
1,코미디,20230340
0,액션,20230199
1,스릴러,20230199
0,코미디,20210544
1,액션,20210544
0,드라마,20230767
0,애니메이션,20239905
1,어드벤처,20239905
2,가족,20239905
0,액션,20226410
1,어드벤처,20226410
2,판타지,20226410
0,드라마,20230641
0,드라마,20226489
0,드라마,20231010
0,액션,20231089
0,애니메이션,20231035
0,애니메이션,20230764
0,코미디,20200154
0,애니메이션,20231009
1,미스터리,20231009
2,판타지,20231009
0,공포(호러),20225865
1,미스터리,20225865
0,코미디,20231244
1,판타지,20231244
2,공포(호러),20231244
0,애니메이션,20227890
1,어드벤처,20227890
2,코미디,20227890
0,액션,20231004
0,코미디,20198482
1,드라마,20198482
0,스릴러,20231164
1,액션,20231164
0,애니메이션,20210846
0,액션,20231496
0,애니메이션,20231348
0,공연,20231544
1,뮤지컬,20231544
0,다큐멘터리,20231437
0,멜로/로맨스,20218656
1,코미디,20218656
0,액션,20231592
0,코미디,20231029
1,드라마,20231029
0,범죄,20226411
1,액션,20226411
0,뮤지컬,20231839
1,가족,20231839
2,판타지,20231839
3,멜로/로맨스,20231839
0,애니메이션,19960041
1,어드벤처,19960041
2,코미디,19960041
3,가족,19960041
0,멜로/로맨스,20231677
0,애니메이션,20090860
1,어드벤처,20090860
2,판타지,20090860
3,액션,20090860
0,액션,20232025
0,애니메이션,20228930
0,액션,20231971
0,액션,20211937
0,애니메이션,20232180
0,애니메이션,20232075
0,다큐멘터리,20227654
0,어드벤처,20232273
1,액션,20232273
0,공연,20232220
1,다큐멘터리,20232220
0,드라마,20231781
0,액션,20232631
1,스릴러,20232631
2,어드벤처,20232631
0,액션,20224579
1,스릴러,20224579
0,애니메이션,20232570
0,어드벤처,20231889
1,공포(호러),20231889
0,애니메이션,20232062
1,어드벤처,20232062
0,애니메이션,20232536
0,기타,20232740
0,공포(호러),20232778
