,peopleNm,peopleNmEn,cast,castEn,movieCd
15,이양희,LEE Yang-hee,김의원,,20180939
16,정미형,JUNG Mi-hyung,여가수,,20180939
17,조혜주,JO Hye-joo,여대생,,20180939
18,김명선,KIM Myung-sun,장마담,,20180939
19,이하영,LEE Ha-young,작은마담,,20180939
20,전우재,JEON Woo-jae,중정요원1/박용각 대역,,20180939
21,손병욱,SON Byung-wook,중정요원2,,20180939
22,최우준,YOON Chung,경호처장,,20180939
23,염석무,YEOM Seok-moo,경호부처장,,20180939
24,박현우,PARK Hyun-woo,경호원1,,20180939
25,김태훈,KIM Tae-hoon,경호원2,,20180939
26,최재훈,CHOI Jae-hoon,경호원3,,20180939
27,조영규,JO Yong-gyu,경호원4,,20180939
28,이수광,LEE Soo-gwang,궁정동 안가요원1,,20180939
29,박기만,PARK Ki-man,궁정동 안가요원2,,20180939
30,엄지만,EOM Ji-man,궁정동 안가요원3,,20180939
31,천명재,CHUN Myung-jae,궁정동 안가요원4,,20180939
32,김낙균,KIM Nak-gyun,궁정동 안가요원5,,20180939
33,천재홍,CHUN Jae-hong,청와대 비서관1,,20180939
34,김지나,KIM Ji-na,청와대 비서관2,,20180939
35,이태호,LEE Tae-ho,청문회 통역사,,20180939
36,정종우,JUNG Jong-woo,박부장 경호원1,,20180939
37,윤기창,YUN KI CHANG,박부장 경호원2,,20180939
38,손인용,SON In-yong,궁정동 집사,,20180939
39,박소윤,PARK So-yoon,현해탄상사 여직원,,20180939
40,이영용,LEE Young-yong,침술원 한의사,,20180939
41,김성철,KIM Sung-chul,이발사,,20180939
42,장은채,JANG Eun-chae,화동소녀,,20180939
43,유정호,YU  Jeong-ho,어둠 속 남자,,20180939
44,정문용,JUNG Moon-yong,택시기사,,20180939
45,신하준,SIN Ha-jun,선두경호차 운전수,,20180939
46,이승진,LEE Seung-jin,후미경호차 운전수,,20180939
47,제리 렉터,Jerry RECTOR,주한미국대사,,20180939
48,오진석,OH Jin-suk,보안사 도청팀,,20180939
49,남승화,NAM Seung-hwa,보안사 도청팀,,20180939
50,유대식,YOO Dae-sik,보안사 도청팀,,20180939
51,장의돈,JANG Eui-don,보안사 도청팀,,20180939
52,구윤회,GU Yun-hoi,보안사 도청팀,,20180939
53,양재훈,YANG Jae-hoon,지원형사,,20180939
54,김동환,KIM Dong-hwan,혁명파티 군장성,,20180939
55,이광식,LEE Gwang-sik,혁명파티 군장성,,20180939
56,김병남,KIM Byung-nam,혁명파티 군장성,,20180939
57,오대환,OH Dae-hwan,혁명파티 군장성,,20180939
58,이병관,LEE Byeong-gwan,혁명파티 군장성,,20180939
59,김지성,KIM Ji-sung,혁명파티 군장성,,20180939
60,박하균,PARK Ha-kyun,혁명파티 군장성,,20180939
61,이상철,LEE Sang-chul,혁명파티 군장성,,20180939
62,김용우,,궁정안가요원 6,,20180939
63,정원석,,보안사 도청팀,,20180939
64,이충훈,,혁명파티 군장성,,20180939
0,권상우,KWON Sang-woo,준,,20192101
1,정준호,JUNG Joon-ho,덕규,,20192101
2,황우슬혜,HWANGWOO Seul-hye,미나,,20192101
3,이이경,YI Yi-kyung,철,,20192101
4,이지원,LEE Ji-won,가영,,20192101
5,허성태,HEO Sungtae,형도,,20192101
6,김조운,JO Woon,제이슨,,20192101
7,허동원,HEO Dong-won,제롬,,20192101
8,이준혁,LEE Jun-hyeok,규만,,20192101
9,이중옥,LEE Joong-ok,십장,,20192101
10,김풍,,김풍,,20192101
11,황병국,,고아원 원장,,20192101
12,박두식,PARK Doo-sik,싸이먼,,20192101
